company,invoice_num,invoice_date,operation_date,amount,reporter,notes,status,kind
BP Biznes,B3963,2014-10-19,2014-10-11,10862.48,Miss Zola Hyatt,"Assumenda nobis sint nihil consectetur praesentium.
Unde molestiae repellat animi assumenda.",rejected,negligible;Other
 Big Company 1,B15428,07-12-2014,29-11-2014,16916.6,Elizabeth Emard,"Ut non dolorem quae ad est in.
Consequatur dolor eveniet eos explicabo est eaque voluptatum.",rejected,client
 SB Komputery,S37753,29-04-2015,21-04-2015,15491.15,Abelardo Wehner,Quas quibusdam quo molestiae doloribus ipsum sed.,other,negligible
Wesoła Gżegżółka,W68785,21-11-2014,18-11-2014,13217.41,Miss Breanne Bahringer,Ut fugit nostrum doloribus hic.,rejected,""
 Ostrzy Entertainment,O61568,26-07-2013,21-07-2013,11252.73,Sylvester Monahan,"Enim ducimus atque rem hic.
Et corporis illum id amet eum.
A quia temporibus.",rejected,internal;other;important
ACME,A28999,20-12-2014,15-12-2014,16411.38,Aubrey Sauer,Expedita non veniam ea repellendus.,accepted,Client;internal;other
Comcast,C9193,2015-05-06,2015-04-29,11872.61,Mr. Herminio Hegmann,Cumque et voluptas.,accepted,important
Microsoft,M64524,2013-03-21,2013-03-17,11016.70,Jean Schuster,Repellat voluptate omnis quaerat.,accepted,""
 Company X,C68494,31-01-2013,27-01-2013,18068.43,Jalen Spencer,Voluptas qui et error corporis quis repellat.,other,delegation;client;important
"Monterail, Inc.",M35458,12/16/2012,12/07/2012,15128.93,Larue Nienow,Et quis in aspernatur aperiam.,other,Delegation;other;Important;internal
BP Biznes,B48280,12/02/2012,11/28/2012,13362.17,Eve Mayer,Voluptatibus reiciendis odio.,rejected,Delegation;Important;other
 Wesoła Gżegżółka,W12974,2013-01-30,2013-01-25,17206.75,Laron Treutel,Assumenda est iusto.,other,Internal;Other;Client;Delegation;negligible
 ACME,A77801,11/06/2014,10/31/2014,11848.71,Anna Torphy,Expedita ut voluptatem itaque sunt ut ipsa.,rejected,important;Delegation
SB Komputery,S5403,16-02-2014,08-02-2014,12328.8,Merritt McClure,Delectus esse fuga ut dolore velit est dolorem.,accepted,internal;negligible
TT Internet,T54191,2014-12-04,2014-12-03,19077.69,Khalil Bernhard,Iste reprehenderit explicabo id voluptatibus aperiam.,rejected,internal;important
Microsoft,M42295,13-12-2012,10-12-2012,15681.78,Sonny Ankunding,"Soluta quos enim vitae animi.
Minima libero sint.
Odit excepturi soluta neque tempore quia.",other,Other;negligible;Delegation
"Monterail, Inc.",M26768,2013-01-08,2013-01-07,16326.50,Kyle Steuber,Ea est id.,other,important;Delegation;other;negligible
Comcast,C82991,08/31/2012,08/29/2012,14540.33,Marc Reichel,Delectus voluptas velit sed dolores voluptates.,other,delegation;client;Other
Company X,C95462,2013-03-19,2013-03-11,14713.6,Oceane Altenwerth,Facere quia omnis nam.,rejected,""
 Ostrzy Entertainment,O52012,12/06/2012,11/30/2012,14192.1,Arthur Hilll,Provident reprehenderit cum atque inventore magni quo perspiciatis.,rejected,important;delegation;Client;negligible;internal
 Wesoła Gżegżółka,W5468,2015-04-02,2015-03-26,10654.44,Chanel Bogan,Qui blanditiis ut assumenda dignissimos beatae est est.,accepted,Important;Delegation;other;Client
 Comcast,C79947,2015-02-05,2015-01-27,17363.25,Everett Greenfelder I,Dolorem tenetur ducimus omnis rerum qui.,rejected,negligible;internal;important
 Big Company 1,B91123,2014-08-09,2014-08-09,18539.88,Garnet Schamberger,Ipsa odit inventore ipsam voluptas cum.,rejected,internal
 KT Koty,K83761,2014-03-22,2014-03-19,11437.9,Lupe Kirlin,Non sed ullam nemo aspernatur autem enim.,accepted,other;Client
Company X,C90380,02/09/2014,02/01/2014,15640.72,Keanu Hettinger II,Fugit voluptatem illo nemo.,accepted,important;client;Delegation
Comcast,C42791,12/31/2014,12/30/2014,16431.10,Holly Ebert I,Nesciunt cupiditate amet et.,other,negligible
Microsoft,M19940,16-04-2015,13-04-2015,18961.67,Annalise Schaden,"Debitis quidem voluptatum assumenda corporis.
Et et porro et excepturi.
In et suscipit cumque error velit omnis.",accepted,negligible
 KT Koty,K22081,04/24/2013,04/23/2013,14112.65,Joy Macejkovic,Rerum nemo quas.,rejected,Important;other;client;internal
 SB Komputery,S65616,10/09/2013,10/02/2013,16196.75,Monserrat Feest,"Adipisci possimus omnis nostrum explicabo totam.
Enim minima aut qui neque dolor reiciendis laudantium.
Magnam hic magni repellat.",accepted,important
" Monterail, Inc.",M22976,21-01-2015,16-01-2015,10696.50,Cristobal Wisozk,Ratione incidunt reprehenderit iste vel aut molestiae.,other,""
Big Company 1,B48994,06/09/2014,06/06/2014,16568.26,Otha Hills,Atque quo odio expedita facilis.,rejected,negligible;important
 Ostrzy Entertainment,O79800,23-03-2013,23-03-2013,16544.64,Bernardo Wyman,Id dolorem et.,rejected,internal;other
ACME,A95106,14-12-2013,12-12-2013,19595.72,Laron Walker V,Debitis ut explicabo ut provident.,accepted,delegation;client;negligible;other
KT Koty,K41448,25-06-2013,16-06-2013,18705.23,Kelvin Miller,Unde asperiores reiciendis ut sed et.,accepted,other;client;delegation
 MS Szpadel,M27754,14-12-2012,13-12-2012,13659.73,Lucious Gislason I,Totam autem illum molestiae doloribus aspernatur.,rejected,other;client
MS Szpadel,M94019,12-05-2014,08-05-2014,,Stewart Miller,Impedit facere quia magnam dignissimos et.,rejected,Delegation;Internal;Important;Negligible;other
 Company X,C48797,2014-12-29,2014-12-25,15363.22,Mr. Gudrun Willms,Qui nemo nihil consequatur.,rejected,Important;internal;negligible;other;delegation
 Wesoła Gżegżółka,W26747,2015-04-20,2015-04-20,14660.87,Rex McGlynn,Consequatur voluptatem repudiandae aperiam dignissimos temporibus.,accepted,Important;Delegation;client;Negligible;other
Ostrzy Entertainment,O69885,22-10-2013,13-10-2013,11494.44,Muriel Streich,"Odio dolor et quasi.
Non corrupti deserunt.
Esse quia nulla nihil eligendi impedit alias.
Sunt aut velit minima suscipit voluptatem ad.",rejected,important;delegation;other;negligible
 Microsoft,M65337,02-10-2013,24-09-2013,14936.44,Ms. Marta Kovacek,Fuga officia delectus vel optio quisquam.,rejected,""
 MS Szpadel,M49597,03/05/2013,03/04/2013,14338.42,Juwan Herzog,Aut dolorum et velit aut id consequatur.,other,internal;Delegation;important;other;client
Comcast,C60539,2014-06-22,2014-06-19,17436.8,Wyatt Kling,"Eius voluptatem error est.
Tempore eveniet provident voluptas corporis sunt vel corrupti.
Corrupti ex quia iure sed temporibus reiciendis.",other,Delegation;negligible;internal;other
Ostrzy Entertainment,O89361,19-09-2012,19-09-2012,12654.81,Kelley Kessler,"Dolorem nulla sint.
Commodi exercitationem dolorem.",accepted,client;Other;negligible
 Comcast,C56750,10/31/2014,10/30/2014,12576.3,Bennie Klein,Nulla explicabo maiores ut.,accepted,""
Comcast,C61869,09/16/2013,09/11/2013,14403.62,Clemens Kirlin,"Praesentium molestiae eos culpa.
Cupiditate voluptatum iusto ea aut dicta voluptatem velit.
Cumque laborum accusantium rem repudiandae.
Enim in impedit voluptatibus.",other,important;other
KT Koty,K35024,2013-09-29,2013-09-27,15340.97,Rosemarie Grimes,Ipsa quia est numquam modi.,other,negligible;other;delegation;internal
TT Internet,T76012,05/20/2014,05/18/2014,14684.14,Arch Rutherford,Fuga aut mollitia.,accepted,important
 Wesoła Gżegżółka,W38216,13-05-2013,11-05-2013,17167.59,Jennifer Durgan,"Provident cum ut odio.
Quas ut quae possimus adipisci alias qui laboriosam.",rejected,""
 Microsoft,M7916,2013-05-09,2013-05-07,16850.70,Vada Muller,"Sed placeat aut.
Sequi aut numquam enim et dolor harum.
Qui et odit reprehenderit.",rejected,other;internal;client;Delegation
 SB Komputery,S40334,02/23/2015,02/19/2015,14358.49,Clinton Batz,Assumenda fuga voluptatem.,accepted,client
